S NO.,Date,Nifty50_Open,SPOTRATE_CLOSE,SR_OUTPUT,SP500_CLOSE,SP500_OUTPUT,NASDAQ100_CLOSE,NASDAQ_OUTPUT,CRUDE_OIL_CLOSE,CRUDE_OIL_OUTPUT,LSE_CLOSE,LSE_OUTPUT
32,03-06-2022,16761.65,16.65,0.54,4108.54,1.07,12548.03,1.75,118.87,4.54,7236,3.48
33,02-06-2022,16481.65,16.36,1.11,4176.82,2.53,12892.89,3.59,116.87,5.91,7190,4.05
34,01-06-2022,16594.4,15.84,3.13,4101.23,2.28,12548.36,2.91,115.26,2.87,7144,4.62
35,31-05-2022,16578.45,16.11,0.99,4132.15,1.55,12595.23,2.57,114.67,5.11,7402,3.05
36,30-05-2022,16527.9,16.43,2.1,4145.2,1.77,12642.1,2.24,117.61,2.08,7588,1.96
37,27-05-2022,16296.6,16.27,1.04,4158.24,1.99,12681.42,2.22,115.07,2.17,7558,2.38
38,26-05-2022,16105,16.09,1.13,4057.84,2.27,12276.79,3.66,114.09,4.14,7390,1.57
39,25-05-2022,16196.35,16.22,2.16,3978.73,1.89,11943.93,2.68,110.33,2.24,7326,1.43
40,24-05-2022,16225.55,16.48,0.55,3941.48,2.08,11769.84,2.29,109.77,2.6,7306,1.43
41,23-05-2022,16290.95,16.41,1.58,3973.75,1.86,12034.28,2.22,110.29,2.57,7304,1.98
42,20-05-2022,16043.8,16.21,0.43,3901.36,3.49,11835.62,4.78,113.23,2.88,7270,1.59
43,19-05-2022,15917.4,15.84,3.53,3900.79,1.79,11875.63,2.3,112.21,7.12,7166,4.11
44,18-05-2022,16318.15,15.35,1.05,3923.68,3.58,11928.31,4.19,109.59,6.42,7226,2.73
45,17-05-2022,15912.6,15.68,0.57,4088.85,1.41,12564.1,1.93,112.4,3.41,7324,2.77
46,16-05-2022,15845.1,15.23,1.74,4008.01,1.57,12243.58,1.63,114.2,6.28,7146,1.96
47,13-05-2022,15977,15.61,4.73,4023.89,1.89,12387.4,2.98,110.49,4.09,7220,2.23
48,12-05-2022,16021.1,16.54,0.6,3930.08,2.75,11945.5,3.71,106.13,4.59,7220,3.07
49,11-05-2022,16270.05,16.77,1.64,3935.18,3.06,11967.56,4.44,105.71,8.39,7220,1.99
50,10-05-2022,16248.9,16.85,0.53,4001.05,2.8,12345.86,2.99,99.76,5.36,7252,3.25
51,09-05-2022,16227.7,16.9,3.31,3991.24,2.66,12187.72,3.33,103.09,8.19,7050,3.21
52,06-05-2022,16415.55,17.64,1.25,4123.34,2.21,12693.54,3.22,109.77,3.67,7296,4.01
53,05-05-2022,16854.75,18.4,1.38,4152.38,3.68,12850.55,4.99,108.26,4.62,7458,2.9
54,04-05-2022,17096.6,17.29,0.52,4300.17,3.83,13535.71,5.19,107.81,5.5,7492,4.29
55,02-05-2022,16924.45,17.24,5.13,4155.38,2.64,13075.85,2.89,105.17,5.64,7792,1.26
56,29-04-2022,17329.25,18.83,1.96,4131.93,3.53,12854.8,4.62,104.69,4.06,7916,1.71
57,28-04-2022,17189.5,18.27,1.73,4287.5,2.86,13456.06,3.87,105.36,5.54,7872,2.53
58,27-04-2022,17073.35,18.45,0.98,4183.96,1.87,13003.36,2.36,102.02,3.2,7960,3
59,26-04-2022,17121.3,18.66,1.8,4175.2,2.47,13009.71,3.37,101.7,5.89,8084,2.07
60,25-04-2022,17009.05,18.3,4.37,4296.12,2.34,13533.22,2.28,98.54,6.58,8068,3.42
61,22-04-2022,17242.75,19.69,3.4,4271.78,2.77,13356.87,3.2,102.07,3.13,8016,2.55
62,21-04-2022,17234.6,19.93,1.62,4393.66,2.93,13720.45,4.35,103.79,3.34,8010,2.43
63,20-04-2022,17045.25,20.26,1.55,4459.45,0.89,13998.53,2.15,102.75,3.44,8098,2.16
64,19-04-2022,17258.95,21.02,2.66,4462.21,1.83,14210.26,2.83,102.56,6.68,7960,4.34
65,18-04-2022,17183.45,21.2,2.21,4391.69,0.92,13910.76,1.52,108.21,3.59,8150,1.27
66,13-04-2022,17599.9,21.38,1.76,4446.59,1.39,14217.29,2.44,104.25,4.61,8116,1.56
67,12-04-2022,17584.85,20.51,1.08,4397.45,2.05,13940.24,2.75,100.6,6.86,8170,4.3
68,11-04-2022,17740.9,20.47,2.66,4412.53,1.27,13990.2,1.49,94.29,6.02,8410,1.86
69,08-04-2022,17698.15,19.54,0.46,4488.28,1.02,14327.26,1.28,98.26,3.64,8504,1.47
70,07-04-2022,17723.3,19.27,0.26,4500.21,1.59,14531.81,2.16,96.03,5.34,8434,1.22
71,06-04-2022,17842.75,19.12,0.95,4481.15,1.21,14498.89,1.69,96.23,8.66,8388,1.27
72,05-04-2022,18080.6,19.17,1.56,4525.12,1.76,14820.64,2.29,101.96,5.72,8360,3.93
73,04-04-2022,17809.1,19.26,0.52,4582.64,0.98,15159.58,1.86,103.28,6.01,8140,1.79
74,01-04-2022,17436.9,18.81,2.34,4545.86,0.91,14861.21,1.37,99.27,4.06,8084,1.58
75,31-03-2022,17519.2,19.16,0.63,4530.41,1.6,14838.49,1.71,100.28,8.17,7966,1.78
76,30-03-2022,17468.15,19.24,2.61,4602.45,1.01,15071.55,1.46,107.82,4.02,7912,1.33
77,29-03-2022,17297.2,17.63,8.11,4631.6,1.04,15239.32,1.5,104.24,9.55,7868,1.54
78,28-03-2022,17181.85,19.28,1.82,4575.52,1.28,14987.4,1.93,105.96,9.82,7864,1.35
79,25-03-2022,17289,20.31,1.58,4543.04,1,14754.31,1.57,113.9,5.01,7828,1.68
80,24-03-2022,17094.95,20.52,2.86,4520.16,1.24,14765.69,2.26,112.34,5.45,7824,2.54
81,23-03-2022,17405.05,19.8,3.77,4456.23,1.02,14447.55,1.63,114.93,6.48,7842,2.15
82,22-03-2022,17120.4,19.1,1.15,4511.61,1.18,14654.33,2.11,111.76,5.22,7914,3.01
83,21-03-2022,17329.5,19.19,0.52,4461.18,1.3,14376.09,1.97,112.12,8.27,7912,3.4
84,17-03-2022,17202.9,19.98,0.6,4411.67,1.78,13956.78,3.6,102.98,9.9,7810,2.56
85,16-03-2022,16876.65,19.33,2.01,4357.95,2.51,13458.56,3.02,95.04,5.47,7904,3.68
86,15-03-2022,16900.65,19.5,2.96,4262.45,1.99,13046.64,2.81,96.44,9.68,7664,3.05
87,14-03-2022,16633.7,21.3,2.42,4173.11,2.06,13301.83,3.23,103.01,9.98,7718,4.58
88,11-03-2022,16528.8,21.92,4.05,4204.31,2.15,13591,1.75,109.33,5.56,7440,2.51
89,10-03-2022,16757.1,22.66,3.39,4259.52,1.39,13742.2,2.14,106.02,8.86,7316,1.86
90,09-03-2022,16078,23.73,1.85,4277.88,1.81,13267.6,4.07,108.7,22.4,7272,5.27
